iter	Passed	Remaining
236	92256	297011
237	92650	296636
238	93048	296274
239	93449	295923
240	93898	295723
241	94354	295539
242	94820	295387
243	95199	294962
244	95614	294647
245	96015	294290
246	96413	293925
247	96809	293552
248	97231	293255
249	97620	292861
250	98013	292479
251	98393	292057
252	98774	291638
253	99169	291260
254	99551	290847
255	99945	290467
256	100366	290163
257	100755	289769
258	101159	289418
259	101534	288984
260	101921	288582
261	102324	288226
262	102684	287750
263	103078	287370
264	103467	286975
265	103896	286693
266	104270	286256
267	104654	285848
268	105048	285465
269	105443	285088
270	105860	284767
271	106265	284417
272	106698	284137
273	107132	283863
274	107568	283589
275	107981	283254
276	108374	282869
277	108785	282528
278	109178	282143
279	109578	281773
280	110123	281774
281	110570	281522
282	110962	281130
283	111369	280777
284	111765	280394
285	112165	280021
286	112583	279694
287	112978	279308
288	113374	278925
289	113763	278524
290	114127	278063
291	114536	277712
292	114937	277340
293	115431	277192
294	115805	276755
295	116164	276282
296	116542	275857
297	116931	275455
298	117316	275046
299	117685	274599
300	118076	274205
301	118520	273930
302	118922	273560
303	119300	273134
304	119711	272784
305	120092	272365
306	120481	271965
307	120857	271537
308	121257	271161
309	121735	270960
310	122115	270538
311	122508	270146
312	122905	269764
313	123432	269664
314	123839	269300
315	124258	268963
316	124633	268531
317	125010	268103
318	125405	267714
319	125800	267325
320	126180	266904
321	126559	266482
322	126962	266110
323	127365	265738
324	127765	265358
325	128163	264975
326	128598	264669
327	128997	264286
328	129386	263885
329	129783	263499
330	130168	263088
331	130566	262706
332	130914	262221
333	131298	261811
334	131697	261428
335	132091	261037
336	132486	260647
337	132879	260255
338	133264	259846
339	133646	259431
340	134020	259001
341	134447	258672
342	134844	258287
343	135211	257844
344	135595	257434
345	136001	257066
346	136383	256653
347	136763	256235
348	137166	255860
349	137559	255467
350	137984	255133
351	138388	254761
352	138783	254371
353	139182	253988
354	139550	253549
355	139924	253121
356	140294	252688
357	140692	252302
358	141083	251906
359	141466	251495
360	141866	251115
361	142276	250752
362	142694	250402
363	143103	250038
364	143502	249654
365	143899	249268
366	144280	248854
367	144670	248456
368	145070	248073
369	145456	247669
370	145860	247293
371	146261	246914
372	146654	246521
373	147035	246107
374	147417	245695
375	147810	245302
376	148209	244919
377	148601	244523
378	148992	244127
379	149388	243739
380	149757	243307
381	150173	242950
382	150573	242569
383	150935	242125
384	151323	241724
385	151723	241343
386	152120	240955
387	152496	240535
388	152890	240144
389	153286	239755
390	153687	239374
391	154105	239020
392	154498	238627
393	154897	238242
394	155287	237844
395	155682	237454
396	156075	237061
397	156456	236650
